ID_RICHIESTA,DURATA_PRATICA,RICHIESTA_DATA,ESITO_RICHIESTA,CON_PRESCRIZIONI,DEST_Residenziale,DEST_Ufficio,DEST_Commerciale,DEST_Albergo,DEST_Industriale e produttiva,"DEST_Sociali, ricreative, culturali e religiose",DEST_Sanitario,DEST_Istruzione,DEST_Sportivo,DEST_Opere_Urbane,DEST_Impianti,DEST_Altro,NUM_DESTINAZIONI,IN_SANATORIA,INTERVENTO_Realizzazione_opere_ex-novo,INTERVENTO_Ampliamento,INTERVENTO_Demolizione,INTERVENTO_Ricostruzione,INTERVENTO_Ristrutturazione,INTERVENTO_Installazione,INTERVENTO_Cambio_Uso,INTERVENTO_Variante_a_progetto,INTERVENTO_Altro,ENTITA_Altro,ENTITA_Grande,ENTITA_Medio,ENTITA_Piccolo,VINCOLATO_STORICO,VINCOLATO_IDROGEO,lat,lon
9062,60,16/01/2009,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44.503809,11.3005589
10394,169,19/01/2009,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,44.4548056,11.3699949
11203,120,20/01/2009,Positiv,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.4931493,11.3069538
13239,1094,21/01/2009,Neutro,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,44.5490273,11.3532496
14740,180,23/01/2009,Positiv,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,44.5173445,11.3476682
18020,189,28/01/2009,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,44.5460473,11.3487275
43178,282,24/02/2009,Positiv,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,44.5242514,11.4113478
96221,98,23/04/2009,Positiv,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,44.5042972,11.42341
106787,387,05/05/2009,Positiv,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.5474744,11.351926
122973,289,19/05/2009,Positiv,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,44.5128728,11.3590175
127595,150,22/05/2009,Positiv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,44.5051799,11.3634883
138165,413,01/06/2009,Negativ,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.5084511,11.3779247
140082,392,04/06/2009,Neutro,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,44.47851,11.3811526
151157,143,15/06/2009,Positiv,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,44.5058143,11.4168035
